Age,Potential,foot,Value,Wage,Height_cm,Weight_kg,Acceleration,Sprint speed,Agility,Reactions,Balance,Stamina,Strength,International reputation,Is_On_Loan,Is_Free_Agent,Contract_Years_Left,Team_encoded,Forward Score,Midfielder Score,Defender Score,Goalkeeper Score,Position Category_Defender,Position Category_Forward,Position Category_Goalkeeper,Position Category_Midfielder,Name
18,87,0,17.147715103853763,11.06665398721974,178,72,75,73,68.0,77,84.0,75,79,1,0,0,4,17.06929143376102,69.8,76.2,76.6,9.6,0.0,0.0,0.0,1.0,I. Mbaye
17,88,0,15.150511887854474,8.517393171418904,183,72,69,70,64.0,66,64.0,68,75,1,0,0,5,15.29097917877402,64.6,70.6,70.4,9.2,0.0,0.0,0.0,1.0,Y. Diomande
26,92,1,18.871756369682007,13.321215875492411,182,81,97,96,93.0,91,82.0,83,77,5,0,0,3,16.647076007233593,94.0,84.0,41.4,8.4,0.0,1.0,0.0,0.0,Pedro Porro
24,85,1,17.541204009297314,11.736077016252436,183,72,89,92,78.0,82,71.0,87,61,3,0,0,4,16.273752288055626,84.6,78.4,50.8,8.0,0.0,0.0,0.0,1.0,M. Lewis-Skelly
20,89,0,17.849751213815786,11.918397239722838,175,70,79,76,84.0,81,87.0,77,50,3,0,0,3,16.68959597894565,79.6,84.0,54.0,11.6,0.0,0.0,0.0,1.0,J. Mokio
20,88,1,16.118095750958314,9.952325334619427,183,77,76,81,71.0,73,70.0,80,75,1,0,0,3,14.779062305639217,74.6,67.0,27.6,10.0,0.0,1.0,0.0,0.0,K. Mbappé
19,87,0,17.182806422433504,11.082157933374816,182,76,87,84,76.0,79,78.0,69,73,1,0,0,6,16.451374161335668,67.0,73.4,74.8,8.0,1.0,0.0,0.0,0.0,A. Gordon
18,88,1,17.129696599000436,10.87806606028079,193,86,53,64,44.0,74,43.0,69,85,1,1,0,0,14.570074096396912,64.0,69.4,78.6,10.4,1.0,0.0,0.0,0.0,A. Güler
20,84,1,15.955576839107596,10.66897865021924,196,80,57,60,55.0,74,57.0,64,79,1,0,0,4,15.153020522170944,51.8,62.4,75.2,10.4,1.0,0.0,0.0,0.0,N. Tresoldi
20,79,1,14.45736497045232,8.006700845440367,190,76,53,56,42.0,51,48.0,63,83,1,0,0,4,13.430423468636937,39.4,49.4,67.6,9.2,1.0,0.0,0.0,0.0,J. Hato
34,75,1,14.80876270134486,8.699681400989514,178,79,71,67,73.0,78,82.0,60,72,2,0,0,3,13.41265503043043,74.2,70.0,33.8,9.6,0.0,1.0,0.0,0.0,L. Vušković
19,86,1,16.88356353960952,10.87806606028079,187,70,70,73,66.0,77,67.0,77,72,1,0,0,4,16.628895459865266,68.6,76.0,74.6,10.2,0.0,0.0,0.0,1.0,Jacobo Ramón
20,88,1,17.249497794707484,10.59665973278358,183,77,92,86,91.0,71,87.0,73,59,1,0,0,3,16.233097417687198,84.0,72.8,46.4,11.8,0.0,0.0,0.0,1.0,I. Ba
22,87,1,17.50439003707821,10.933124826700707,191,86,77,83,76.0,80,66.0,81,83,1,0,0,4,16.162692024921977,70.2,75.6,80.0,10.0,1.0,0.0,0.0,0.0,L. Muriel
21,86,1,16.5563506464056,9.90353755128617,188,80,68,78,62.0,69,63.0,72,85,1,0,0,3,14.779062305639217,50.0,63.6,77.0,11.4,1.0,0.0,0.0,0.0,A. Gray
16,87,1,14.88022163978423,8.853808274977197,192,86,60,63,58.0,63,69.0,72,68,1,0,0,1,14.102430287417446,58.2,68.6,66.0,9.6,0.0,0.0,0.0,1.0,A. Nusa
17,88,1,16.066802461833923,10.59665973278358,180,75,77,76,76.0,69,75.0,65,53,1,1,0,0,14.9373687272834,73.8,71.8,35.8,8.2,0.0,0.0,0.0,1.0,Pubill
18,86,0,16.213405921671733,10.5713425658087,193,84,66,70,73.0,75,72.0,65,75,1,0,0,3,16.290313780360346,66.8,73.2,73.0,9.2,0.0,0.0,0.0,1.0,J. Ordoñez
18,89,0,17.426428497635523,11.170449240431308,178,71,91,89,91.0,74,93.0,67,49,1,0,0,7,16.41786445917783,83.4,73.4,34.4,10.8,0.0,0.0,0.0,1.0,Danilo Santos
16,85,0,13.815511557963774,8.517393171418904,175,65,73,70,74.0,54,79.0,44,43,1,0,0,1,15.810994838517129,65.0,54.4,34.4,8.8,0.0,0.0,0.0,1.0,N. De Cat
32,85,0,17.399029524198163,11.561725152903833,186,80,40,53,51.0,86,61.0,84,78,3,0,0,2,16.076297033229938,64.4,86.0,77.8,9.2,0.0,0.0,0.0,1.0,M. Moore
32,84,1,17.341871111992198,9.852246888342531,183,78,84,82,79.0,85,74.0,86,69,3,0,0,1,13.829217761591693,84.4,81.8,44.0,10.6,0.0,1.0,0.0,0.0,Marc Bernal
29,89,1,18.29284738380612,12.429220196836384,190,82,65,65,65.0,89,67.0,86,83,5,0,0,1,17.090044485837712,75.0,88.2,84.8,9.8,0.0,0.0,0.0,1.0,Estêvão
24,83,1,16.97251102166758,11.289794413577894,184,71,87,88,78.0,78,67.0,76,75,1,0,0,3,16.64766857226892,74.0,73.8,75.6,9.0,1.0,0.0,0.0,0.0,W. Mike
27,84,1,17.622173069956816,11.775297421715829,179,72,78,71,86.0,86,87.0,71,56,3,0,0,4,16.290313780360346,78.4,81.4,51.0,13.2,0.0,0.0,0.0,1.0,G. Xhaka
24,84,1,17.216707972959764,10.859018228147889,185,80,77,72,79.0,82,72.0,82,82,2,0,0,3,16.215898736557445,77.8,80.2,76.8,10.2,0.0,0.0,0.0,1.0,Son Heung Min
22,93,1,18.92145603792546,12.100717685412471,174,60,79,76,89.0,87,92.0,90,73,4,0,0,4,16.110771798167953,79.6,90.4,79.4,9.2,0.0,0.0,0.0,1.0,Rodri
22,93,1,18.829473648797723,12.611541086966117,186,75,81,80,83.0,91,83.0,93,80,5,0,0,3,16.648428375084915,84.6,89.6,79.8,9.6,0.0,0.0,0.0,1.0,D. Spence
21,86,1,17.19990085520835,9.61587214452889,191,76,66,73,61.0,78,55.0,81,73,1,0,0,3,15.862735978193188,66.8,77.6,77.2,7.6,0.0,0.0,0.0,1.0,Dani Olmo
18,89,1,17.01418371633128,9.210440366976515,168,56,80,74,83.0,79,92.0,59,32,1,0,0,4,15.952240790210498,72.2,73.0,37.4,9.4,0.0,0.0,0.0,1.0,K. Koné
16,85,1,15.096444681204078,9.105090961257083,176,66,74,69,75.0,63,67.0,50,29,1,0,0,2,14.485269565754928,69.6,65.2,34.4,9.2,0.0,0.0,0.0,1.0,Pedri
31,81,1,16.860033043306743,10.239995502805316,182,75,66,66,68.0,77,75.0,74,75,3,0,0,2,14.897767360202277,71.2,83.4,75.8,9.6,0.0,0.0,0.0,1.0,J. Bellingham
24,88,1,18.29284738380612,11.884495917930655,186,74,79,83,78.0,87,68.0,93,69,3,0,0,2,16.36206673021707,83.2,87.0,72.6,9.8,0.0,0.0,0.0,1.0,Z. Debast
25,92,1,18.819456870621146,12.128116509451258,172,64,75,69,92.0,90,89.0,89,59,5,0,0,3,16.971758479457478,78.8,90.4,73.2,8.6,0.0,0.0,0.0,1.0,Cristiano Ronaldo
23,89,0,18.34811006187022,12.04355959836804,185,77,76,75,80.0,87,78.0,79,60,4,0,0,7,16.41786445917783,81.0,85.4,50.0,10.2,0.0,0.0,0.0,1.0,Rodrigo Mora
22,84,1,16.648723960844016,10.308985993422082,187,77,73,75,77.0,74,71.0,74,76,1,0,0,3,13.430423468636937,75.2,76.8,74.2,11.0,0.0,0.0,0.0,1.0,W. Mohya
19,89,1,17.822843761378564,11.19822841866684,178,68,82,79,76.0,84,89.0,93,88,3,0,0,3,16.971758479457478,76.8,84.8,81.2,11.0,0.0,0.0,0.0,1.0,L. Paredes
19,85,1,15.76142084987672,10.799595985047786,170,65,88,84,92.0,71,92.0,59,45,1,1,0,0,15.01241475663303,77.4,68.6,39.4,10.2,0.0,0.0,0.0,1.0,D. Szoboszlai
20,88,1,17.6762402900575,11.695255355062796,196,86,69,75,55.0,81,33.0,68,80,3,0,0,4,16.648428375084915,66.4,78.0,81.2,11.0,0.0,0.0,0.0,1.0,Vitinha
20,74,1,13.304686600863562,8.699681400989514,179,72,63,69,68.0,54,67.0,53,58,1,1,0,0,13.686201359105024,61.8,57.4,44.4,9.8,0.0,0.0,0.0,1.0,C. Palmer
16,82,1,13.815511557963774,6.90875477931522,180,71,72,75,70.0,49,60.0,64,61,1,0,0,1,14.8490387778274,66.6,53.0,27.4,13.4,0.0,1.0,0.0,0.0,Javi Guerra
21,85,1,17.147715103853763,10.645448706505872,178,75,91,88,90.0,78,76.0,78,74,1,0,0,4,16.350632819476466,76.2,75.0,74.8,9.4,0.0,0.0,0.0,1.0,W. Zaïre-Emery
30,73,1,14.731801689838347,8.853808274977197,190,95,47,52,47.0,69,49.0,60,87,2,0,0,1,13.47862874396356,51.8,63.2,74.6,11.8,1.0,0.0,0.0,0.0,C. Echeverri
27,80,1,16.951004817371683,10.799595985047786,185,84,68,75,70.0,82,71.0,80,77,2,0,0,2,15.474528230285529,78.0,76.8,46.4,7.8,0.0,1.0,0.0,0.0,D. Huijsen
24,93,0,18.96590780023279,12.873904582205109,195,94,82,92,71.0,94,69.0,78,93,5,0,0,8,17.050428562873275,88.6,76.0,50.8,10.4,0.0,1.0,0.0,0.0,O. Adewumi
24,84,1,17.281246492014,10.691967639914864,182,80,65,64,69.0,81,57.0,86,70,3,0,0,4,16.306090917780747,70.6,81.2,79.0,8.2,0.0,0.0,0.0,1.0,D. N'Guessan
23,86,0,17.71748324774094,10.839600519357369,181,80,82,84,87.0,85,75.0,79,60,3,0,0,3,15.817215929146329,84.6,79.8,38.6,6.8,0.0,0.0,0.0,1.0,T. Fruk
23,91,0,18.71335036537787,11.695255355062796,180,78,83,74,90.0,88,85.0,85,62,4,0,0,3,15.798375649491282,82.2,86.8,53.6,9.8,0.0,0.0,0.0,1.0,Wesley
22,85,0,17.439851517607305,11.884495917930655,185,77,81,80,82.0,79,82.0,84,79,3,0,0,3,16.96522190662038,76.4,82.8,79.8,10.0,0.0,0.0,0.0,1.0,26 K. Zouma
24,87,0,17.6762402900575,10.757924157061597,183,77,68,47,82.0,85,80.0,80,67,3,0,0,2,15.372760028087033,64.6,84.6,74.2,8.8,0.0,0.0,0.0,1.0,E. Demirović
23,86,1,17.599700214609808,11.775297421715829,186,82,80,79,81.0,83,77.0,75,75,3,0,0,7,16.41786445917783,82.0,77.4,40.4,9.0,0.0,1.0,0.0,0.0,E. Haaland
23,85,1,16.906553056777135,10.239995502805316,193,80,64,84,45.0,77,44.0,72,82,1,0,0,4,14.89395847087493,57.0,61.2,77.2,9.0,1.0,0.0,0.0,0.0,J. Garner
19,85,1,15.76142084987672,9.305741456739437,166,63,91,83,92.0,75,93.0,68,33,1,0,0,3,15.661111794309338,76.2,67.4,42.6,10.4,0.0,0.0,0.0,1.0,M. Greenwood
20,91,1,18.430631084706523,11.60824473564232,181,79,85,82,88.0,86,88.0,80,83,3,0,0,3,16.971758479457478,84.8,81.4,61.2,9.2,0.0,0.0,0.0,1.0,M. Olise
19,81,1,15.955576839107596,10.085850775128716,178,68,75,71,69.0,64,85.0,69,75,1,1,0,0,14.58675408900154,76.2,71.0,37.0,7.2,0.0,1.0,0.0,0.0,E. Camavinga
22,87,1,17.78580249038432,11.51293546492023,174,64,78,79,83.0,84,81.0,84,59,3,0,0,5,16.290313780360346,81.4,83.2,62.4,8.8,0.0,0.0,0.0,1.0,A. Stiller
27,88,1,18.410630418199872,11.277215789596893,174,72,84,80,88.0,92,88.0,86,80,5,0,0,3,16.116812517971706,85.0,79.8,53.2,9.6,0.0,1.0,0.0,0.0,João Pedro
25,80,1,16.860033043306743,11.289794413577894,180,76,81,77,90.0,78,90.0,57,58,3,1,0,0,16.426881333686847,78.6,74.4,37.8,10.4,0.0,0.0,0.0,1.0,C. Matsima
26,87,1,18.10597001281129,11.849404844423074,181,84,85,83,72.0,85,78.0,85,84,4,0,0,4,16.290313780360346,70.6,79.2,83.8,11.2,1.0,0.0,0.0,0.0,G. Prestianni
25,87,1,17.73748391404757,12.206077645517674,188,82,75,74,72.0,82,70.0,83,82,3,0,0,2,16.68959597894565,74.4,83.0,83.2,9.6,0.0,0.0,0.0,1.0,D. Doué
26,85,1,17.71748324774094,11.277215789596893,188,81,93,93,84.0,83,79.0,75,79,3,0,0,2,16.002465121176094,87.0,79.0,34.0,11.4,0.0,0.0,0.0,1.0,S. Kılıçsoy
22,91,1,18.57340183955372,11.982935344196433,177,71,82,79,88.0,85,87.0,87,59,4,0,0,4,16.53923659900635,82.0,87.8,54.2,11.4,0.0,0.0,0.0,1.0,Fermín
26,83,1,17.491811255187805,11.951186847493476,183,81,87,90,88.0,82,78.0,76,67,3,0,0,3,17.050428562873275,86.0,76.4,36.6,11.6,0.0,1.0,0.0,0.0,L. Martínez
22,91,1,18.57340183955372,11.51293546492023,186,75,85,75,94.0,87,93.0,73,61,4,0,0,4,15.611724142420044,83.8,81.6,63.0,8.4,0.0,0.0,0.0,1.0,J. Sancho
23,87,1,17.6441519761925,11.141876276228,175,70,79,79,80.0,80,76.0,78,60,3,0,0,4,16.18048417713626,78.6,82.0,65.2,9.6,0.0,0.0,0.0,1.0,J. Koundé
21,87,0,17.453096744006448,11.097425172408933,182,70,60,63,69.0,82,71.0,69,66,3,0,0,3,15.864460564859398,65.6,81.6,75.2,9.4,0.0,0.0,0.0,1.0,A. Tchouaméni
19,84,1,15.009433329466964,9.39274525863144,175,74,90,93,92.0,65,93.0,61,78,1,0,0,4,13.836074326499958,81.8,62.6,49.8,9.0,0.0,1.0,0.0,0.0,Rafael Leão
19,83,1,16.588099342704055,10.275085591132717,191,75,68,71,70.0,72,73.0,84,77,1,0,0,4,16.208898104483804,72.2,78.0,79.0,11.8,0.0,0.0,0.0,1.0,F. Wirtz
20,93,1,18.72078534381011,11.695255355062796,174,66,77,71,84.0,87,86.0,92,78,4,0,0,3,17.007025944466523,76.6,88.8,83.0,9.2,0.0,0.0,0.0,1.0,O. Marmoush
19,84,1,15.520258832020865,9.546884034617923,180,77,76,75,71.0,68,71.0,91,65,1,0,0,2,15.550699553578731,68.8,67.6,66.8,9.0,1.0,0.0,0.0,0.0,J. Musiala
19,85,1,15.520258832020865,9.546884034617923,185,80,67,66,60.0,73,60.0,70,65,1,0,0,3,15.10527715842988,67.6,72.8,68.4,13.0,0.0,0.0,0.0,1.0,Álex Baena
20,84,1,16.300417291085605,10.463131911491969,186,80,82,89,77.0,76,58.0,79,70,1,1,0,0,14.461244364259889,76.4,72.0,67.8,8.8,0.0,0.0,0.0,1.0,A. Wharton
39,85,1,16.648723960844016,10.933124826700707,172,66,72,65,89.0,79,90.0,69,58,3,0,0,2,15.96835649384011,73.6,84.6,71.4,10.4,0.0,0.0,0.0,1.0,N. Irankunda
36,86,1,16.951004817371683,11.775297421715829,186,81,70,71,72.0,88,83.0,76,86,5,0,0,2,16.453522411051612,80.0,79.2,46.2,10.2,0.0,1.0,0.0,0.0,J. Bellingham
36,67,1,12.691583538230216,8.294299608857235,178,74,34,52,55.0,67,74.0,73,65,1,0,0,1,13.247834499856737,58.8,71.2,63.6,11.4,0.0,0.0,0.0,1.0,João Neves
32,65,1,13.07107218827772,8.699681400989514,174,65,72,71,69.0,64,78.0,64,75,1,0,0,0,13.13268814629923,68.0,65.6,62.6,14.6,0.0,0.0,0.0,1.0,E. Baum
31,85,0,17.61099976960838,11.461642696843066,177,75,83,76,86.0,86,87.0,76,63,4,0,0,3,16.285432873006673,82.6,83.4,43.4,5.2,0.0,0.0,0.0,1.0,A. Stanković
27,85,1,17.565014657424058,11.884495917930655,185,77,72,78,67.0,85,68.0,79,80,3,0,0,2,16.318315356290814,69.6,77.0,84.6,11.0,1.0,0.0,0.0,0.0,M. Palestra
28,83,0,17.426428497635523,11.082157933374816,181,78,74,73,78.0,85,77.0,79,72,3,0,0,2,16.299796719364387,80.0,81.6,45.6,10.0,0.0,1.0,0.0,0.0,L. Modrić
25,82,1,17.249497794707484,11.982935344196433,170,68,82,80,88.0,78,90.0,72,62,3,0,0,1,16.647076007233593,78.8,79.2,37.4,10.2,0.0,0.0,0.0,1.0,R. Lewandowski
19,88,1,16.118095750958314,9.39274525863144,180,66,73,58,78.0,72,75.0,79,64,1,0,0,2,14.82050930524948,67.0,76.8,63.6,9.4,0.0,0.0,0.0,1.0,J. Toornstra
19,85,1,15.955576839107596,10.819798284210286,190,85,75,76,66.0,72,63.0,67,76,1,0,0,3,16.41786445917783,65.0,67.6,74.6,10.4,1.0,0.0,0.0,0.0,25 R. Bonevacia
18,86,0,15.76142084987672,9.61587214452889,175,67,72,68,79.0,72,76.0,74,63,1,0,0,3,15.57215497345262,67.0,75.0,63.2,10.4,0.0,0.0,0.0,1.0,P. Dybala
17,85,1,15.096444681204078,8.294299608857235,179,68,78,80,78.0,60,70.0,67,51,1,0,0,3,16.155262041181327,72.6,67.6,26.2,9.2,0.0,0.0,0.0,1.0,26 Á. Correa
18,86,1,16.300417291085605,9.90353755128617,168,66,86,81,83.0,70,76.0,65,44,1,0,0,4,13.429671974294894,76.6,69.4,37.4,9.0,0.0,0.0,0.0,1.0,E. Konsa
18,88,0,17.19990085520835,10.714439990727769,185,80,84,82,74.0,74,68.0,73,79,1,0,0,5,16.084717593400953,81.6,74.6,39.2,11.2,0.0,1.0,0.0,0.0,Oyarzabal
33,70,1,13.527829818844936,8.517393171418904,186,80,34,40,54.0,64,64.0,48,76,2,0,0,0,13.963893166057977,45.2,58.6,71.2,10.6,1.0,0.0,0.0,0.0,Brahim
33,82,1,16.52356082573315,11.51293546492023,185,84,35,36,48.0,82,51.0,68,81,3,0,0,3,15.837452966293744,58.0,78.0,81.0,13.4,0.0,0.0,0.0,1.0,K. Smit
32,85,1,17.0926553286923,11.561725152903833,195,88,55,57,54.0,79,49.0,40,78,3,0,0,3,16.26225606528531,42.8,54.0,32.8,83.2,0.0,0.0,1.0,0.0,J. Acheampong
30,83,1,17.370858648025116,12.07254696717504,172,67,87,75,92.0,82,85.0,76,55,3,0,0,1,16.9859350780112,82.4,80.0,30.4,9.4,0.0,1.0,0.0,0.0,C. Mouzakitis
28,85,1,17.804494623047066,12.04355959836804,176,72,51,55,61.0,86,77.0,87,69,3,0,0,1,16.318315356290814,69.4,87.0,75.0,10.0,0.0,0.0,0.0,1.0,O. Pietuszewski
28,81,1,16.61887099947687,10.645448706505872,193,86,49,46,34.0,79,58.0,39,74,2,1,0,0,15.752498836730624,40.4,49.6,28.8,79.8,0.0,0.0,1.0,0.0,Jan Virgili
26,87,1,18.20995972498239,11.561725152903833,186,77,90,89,79.0,88,68.0,81,90,4,0,0,3,15.18243337939159,86.2,71.0,52.6,10.6,0.0,1.0,0.0,0.0,Rayan
27,79,0,16.489659276356317,10.778977123006351,174,78,74,64,73.0,79,78.0,77,77,3,0,0,2,16.69471978992361,71.4,76.8,76.2,8.2,0.0,0.0,0.0,1.0,23 Mexer
25,86,1,17.697074376526267,11.884495917930655,180,91,75,76,66.0,84,71.0,68,87,3,0,0,6,16.41786445917783,76.2,78.6,84.6,10.2,1.0,0.0,0.0,0.0,Casemiro
